x;name;pclass;sex;age;survived;SexCode
1;Allen, Miss. Elisabeth Walton;1;female;29;1;1
2;Allison, Master. Hudson Trevor;1;male;0.92;1;0
3;Allison, Miss. Helen Loraine;1;female;2;0;1
4;Allison, Mr. Hudson Joshua Creighton;1;male;30;0;0
5;Allison, Mrs. Hudson J C (Bessie Waldo Daniels);1;female;25;0;1
6;Anderson, Mr. Harry;1;male;48;1;0
7;Andrews, Miss. Kornelia Theodosia;1;female;63;1;1
8;Andrews, Mr. Thomas Jr;1;male;39;0;0
9;Appleton, Mrs. Edward Dale (Charlotte Lamson);1;female;53;1;1
10;Artagaveytia, Mr. Ramon;1;male;71;0;0
11;Astor, Col. John Jacob;1;male;47;0;0
12;Astor, Mrs. John Jacob (Madeleine Talmadge Force);1;female;18;1;1
13;Aubart, Mme. Leontine Pauline;1;female;24;1;1
14;"Barber, Miss. Ellen ""Nellie""";1;female;26;1;1
15;Barkworth, Mr. Algernon Henry Wilson;1;male;80;1;0
16;Baumann, Mr. John D;1;male;;0;0
17;Baxter, Mr. Quigg Edmond;1;male;24;0;0
18;Baxter, Mrs. James (Helene DeLaudeniere Chaput);1;female;50;1;1
19;Bazzani, Miss. Albina;1;female;32;1;1
20;Beattie, Mr. Thomson;1;male;36;0;0
21;Beckwith, Mr. Richard Leonard;1;male;37;1;0
22;Beckwith, Mrs. Richard Leonard (Sallie Monypeny);1;female;47;1;1
23;Behr, Mr. Karl Howell;1;male;26;1;0
24;Bidois, Miss. Rosalie;1;female;42;1;1
25;Bird, Miss. Ellen;1;female;29;1;1
26;Birnbaum, Mr. Jakob;1;male;25;0;0
27;Bishop, Mr. Dickinson H;1;male;25;1;0
28;Bishop, Mrs. Dickinson H (Helen Walton);1;female;19;1;1
29;Bissette, Miss. Amelia;1;female;35;1;1
30;Bjornstrom-Steffansson, Mr. Mauritz Hakan;1;male;28;1;0
31;Blackwell, Mr. Stephen Weart;1;male;45;0;0
32;Blank, Mr. Henry;1;male;40;1;0
33;Bonnell, Miss. Caroline;1;female;30;1;1
34;Bonnell, Miss. Elizabeth;1;female;58;1;1
35;Borebank, Mr. John James;1;male;42;0;0
36;Bowen, Miss. Grace Scott;1;female;45;1;1
37;Bowerman, Miss. Elsie Edith;1;female;22;1;1
38;"Bradley, Mr. George (""George Arthur Brayton"")";1;male;;1;0
39;Brady, Mr. John Bertram;1;male;41;0;0
40;Brandeis, Mr. Emil;1;male;48;0;0
41;Brewe, Dr. Arthur Jackson;1;male;;0;0
42;Brown, Mrs. James Joseph (Margaret Tobin);1;female;44;1;1
43;Brown, Mrs. John Murray (Caroline Lane Lamson);1;female;59;1;1
44;Bucknell, Mrs. William Robert (Emma Eliza Ward);1;female;60;1;1
45;Burns, Miss. Elizabeth Margaret;1;female;41;1;1
46;Butt, Major. Archibald Willingham;1;male;45;0;0
47;Cairns, Mr. Alexander;1;male;;0;0
48;Calderhead, Mr. Edward Pennington;1;male;42;1;0
49;Candee, Mrs. Edward (Helen Churchill Hungerford);1;female;53;1;1
50;Cardeza, Mr. Thomas Drake Martinez;1;male;36;1;0
51;Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake);1;female;58;1;1
52;Carlsson, Mr. Frans Olof;1;male;33;0;0
53;Carrau, Mr. Francisco M;1;male;28;0;0
54;Carrau, Mr. Jose Pedro;1;male;17;0;0
55;Carter, Master. William Thornton II;1;male;11;1;0
56;Carter, Miss. Lucile Polk;1;female;14;1;1
57;Carter, Mr. William Ernest;1;male;36;1;0
58;Carter, Mrs. William Ernest (Lucile Polk);1;female;36;1;1
59;Case, Mr. Howard Brown;1;male;49;0;0
60;Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick);1;female;;1;1
61;Cavendish, Mr. Tyrell William;1;male;36;0;0
62;Cavendish, Mrs. Tyrell William (Julia Florence Siegel);1;female;76;1;1
63;Chaffee, Mr. Herbert Fuller;1;male;46;0;0
